codigo;usuario;material;valor_propuesto;fechapropuesta
1951428;rvergara;-;1;03-10-2025
1720996;rvergara;-;1;03-10-2025
684622;rvergara;-;1;03-10-2025
1760795;rvergara;-;1;03-10-2025
589815;rvergara;-;1;03-10-2025
689512;rvergara;-;1;03-10-2025
1387892;sfigueroa;-;1;29-09-2025
539616;sfigueroa;-;1;29-09-2025
549798;sfigueroa;-;1;29-09-2025
544603;sfigueroa;-;1;29-09-2025
796809;sfigueroa;-;1;29-09-2025
539064;sfigueroa;-;1;29-09-2025
1430408;sfigueroa;-;1;29-09-2025
534837;sfigueroa;-;1;29-09-2025
788568;sfigueroa;-;1;29-09-2025
536800;sfigueroa;-;1;29-09-2025
538988;sfigueroa;-;1;29-09-2025
1652773;sfigueroa;-;1;29-09-2025
2153890;sfigueroa;-;1;29-09-2025
993226;sfigueroa;-;1;29-09-2025
1459070;sfigueroa;-;1;29-09-2025
1853684;sfigueroa;-;1;30-09-2025
2223672;sfigueroa;-;1;30-09-2025
2331392;sfigueroa;-;1;30-09-2025
542909;sfigueroa;-;1;30-09-2025
2277762;sfigueroa;-;1;30-09-2025
2237719;sfigueroa;-;1;30-09-2025
863101;sfigueroa;-;1;30-09-2025
784013;sfigueroa;-;1;30-09-2025
815985;sfigueroa;-;1;30-09-2025
1738032;sfigueroa;-;1;30-09-2025
2087409;sfigueroa;-;1;30-09-2025
2243673;sfigueroa;-;1;30-09-2025
873219;sfigueroa;-;1;30-09-2025
537800;sfigueroa;-;1;30-09-2025
2338004;sfigueroa;-;1;30-09-2025
998607;sfigueroa;-;1;01-10-2025
934121;sfigueroa;-;1;01-10-2025
537875;sfigueroa;-;1;01-10-2025
818218;sfigueroa;-;1;01-10-2025
1803063;sfigueroa;-;1;01-10-2025
2240360;sfigueroa;-;1;01-10-2025
2183627;sfigueroa;-;1;01-10-2025
542932;sfigueroa;-;1;01-10-2025
1421447;sfigueroa;-;1;01-10-2025
1638011;sfigueroa;-;1;01-10-2025
2002095;sfigueroa;-;1;01-10-2025
904314;sfigueroa;-;1;01-10-2025
1475694;sfigueroa;-;1;01-10-2025
876090;sfigueroa;-;1;01-10-2025
536950;sfigueroa;-;1;01-10-2025
920168;sfigueroa;-;1;02-10-2025
849611;sfigueroa;-;1;02-10-2025
542674;sfigueroa;-;1;02-10-2025
1474849;sfigueroa;-;1;02-10-2025
1456874;sfigueroa;-;1;02-10-2025
2213178;sfigueroa;-;1;02-10-2025
2127592;sfigueroa;-;1;02-10-2025
2218008;sfigueroa;-;1;02-10-2025
1465794;sfigueroa;-;1;02-10-2025
2283344;sfigueroa;-;1;02-10-2025
778266;sfigueroa;-;1;02-10-2025
2326202;sfigueroa;-;1;02-10-2025
2215875;sfigueroa;-;1;02-10-2025
1955244;sfigueroa;-;1;02-10-2025
544233;sfigueroa;-;1;02-10-2025
999213;sfigueroa;-;1;03-10-2025
2077434;sfigueroa;-;1;03-10-2025
542900;sfigueroa;-;1;03-10-2025
1621452;sfigueroa;-;1;03-10-2025
1701499;sfigueroa;-;1;03-10-2025
535583;sfigueroa;-;1;03-10-2025
2142457;sfigueroa;-;1;03-10-2025
2100906;sfigueroa;-;1;03-10-2025
2272546;sfigueroa;-;1;03-10-2025
2230439;sfigueroa;-;1;03-10-2025
535829;sfigueroa;-;1;03-10-2025
770153;sfigueroa;-;1;03-10-2025
2291245;sfigueroa;-;1;03-10-2025
1499722;sfigueroa;-;1;03-10-2025
2181431;sfigueroa;-;1;03-10-2025
1356722;sfuenzalida;-;1;29-09-2025
548368;sfuenzalida;-;1;29-09-2025
1704385;sfuenzalida;-;1;29-09-2025
