CODIGO,NOMBRE,DIRECCION,DISTRITO,ZONA,FECHA VISITA,¿HAY COOLER CON NUEVA CENEFA?,CANTIDAD DE PUERTAS,HAY PRESENCIA DE RB EN ALGUNA DE LAS PUERTAS,FULL BANDEJA EJECUTADA,FOTO CCU,NUMERO DE FOTO
2304630,(ALMACEN) SERVICIOS GASTRONOMICOS WILBER YUCR,"LOS TAMARUGOS 211, ANTOFAGASTA",ANTOFAGASTA/CALAMA,NORTE,2025-12-05 00:00:00,SI,2,SI,SI,https://visibility.cl/visibility2/app/uploads/uploads_fotos_pregunta/q7_6932f0486ff826.60494849.webp,1
2321184,(ALMACEN) OSVALDO SALGADO,"Juan Contreras241, Villarrica",TEMUCO/VALDIVIA,SUR,2025-12-05 00:00:00,SI,4 +,NO,,https://visibility.cl/visibility2/app/uploads/uploads_fotos_pregunta/q7_6932f0b8d96336.07276547.webp,1
2321184,(ALMACEN) OSVALDO SALGADO,"Juan Contreras241, Villarrica",TEMUCO/VALDIVIA,SUR,2025-12-05 00:00:00,SI,4 +,NO,,https://visibility.cl/visibility2/app/uploads/uploads_fotos_pregunta/q7_6932f0c873fc75.65428137.webp,2
518853,(ALMACEN) JUDITH CASTILLO MARIN,"LOS SAUCES 177 EL PERALITO, MONTE PATRIA",LA SERENA/OVALLE,CENTRO COSTA,2025-12-05 00:00:00,SI,4 +,NO,,https://visibility.cl/visibility2/app/uploads/uploads_fotos_pregunta/q7_6933118616e6b8.47677030.webp,1
518853,(ALMACEN) JUDITH CASTILLO MARIN,"LOS SAUCES 177 EL PERALITO, MONTE PATRIA",LA SERENA/OVALLE,CENTRO COSTA,2025-12-05 00:00:00,SI,4 +,NO,,https://visibility.cl/visibility2/app/uploads/uploads_fotos_pregunta/q7_6933118c60f0a6.98273019.webp,2
1356319,(ALMACEN) PAULA CONTRERAS MONSALVE,CALLE CREACIÓNÑ,CHILLAN/LOS ANGELES,CENTRO SUR,2025-12-04 00:00:00,SI,4 +,SI,SI,https://visibility.cl/visibility2/app/uploads/uploads_fotos_pregunta/q7_69318dd5c727c2.81364475.webp,1
1356319,(ALMACEN) PAULA CONTRERAS MONSALVE,CALLE CREACIÓNÑ,CHILLAN/LOS ANGELES,CENTRO SUR,2025-12-04 00:00:00,SI,4 +,SI,SI,https://visibility.cl/visibility2/app/uploads/uploads_fotos_pregunta/q7_69318dd97faca0.43050700.webp,2
1356319,(ALMACEN) PAULA CONTRERAS MONSALVE,CALLE CREACIÓNÑ,CHILLAN/LOS ANGELES,CENTRO SUR,2025-12-04 00:00:00,SI,4 +,SI,SI,https://visibility.cl/visibility2/app/uploads/uploads_fotos_pregunta/q7_69318ddc5334a7.91273750.webp,3
2214990,(ALMACEN) COMERCIAL DON PALTON,"JUANA ATALA DE HIRMAS 651, RENCA",VESPUCIO,CENTRO,2025-12-04 00:00:00,SI,4 +,SI,SI,https://visibility.cl/visibility2/app/uploads/uploads_fotos_pregunta/q7_6931e1041a40f7.61824859.webp,1
2214990,(ALMACEN) COMERCIAL DON PALTON,"JUANA ATALA DE HIRMAS 651, RENCA",VESPUCIO,CENTRO,2025-12-04 00:00:00,SI,4 +,SI,SI,https://visibility.cl/visibility2/app/uploads/uploads_fotos_pregunta/q7_6931e13609dfa9.58750082.webp,2
