nombreFormulario,fechaVisita,mesVisita,mesNumero,merchan,comunaLocal,SALASVISITADAS,SALASIMPLEMENTADAS,PLAYA,CAMPING,CASCO_URBANO,RURAL,EVENTO,SELL_OUT
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","10/04/2025 14:50:24",April,4,jparedes,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","10/04/2025 14:51:42",April,4,jparedes,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","10/04/2025 14:51:50",April,4,grojas,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","10/04/2025 14:53:10",April,4,jparedes,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","10/04/2025 14:53:36",April,4,grojas,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","10/04/2025 14:55:52",April,4,jparedes,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","10/04/2025 14:56:45",April,4,grojas,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","10/04/2025 14:57:27",April,4,jparedes,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","10/04/2025 14:58:31",April,4,grojas,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","10/04/2025 14:59:06",April,4,jparedes,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","10/04/2025 15:00:28",April,4,grojas,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","10/04/2025 15:00:39",April,4,jparedes,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","10/04/2025 15:06:01",April,4,grojas,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","10/04/2025 15:08:51",April,4,grojas,RECOLETA,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","10/04/2025 15:12:28",April,4,grojas,RECOLETA,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","10/04/2025 15:14:18",April,4,grojas,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","11/04/2025 13:31:39",April,4,jparedes,SANTIAGO,1,1,0,0,0,0,1,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","11/04/2025 13:36:53",April,4,jparedes,SANTIAGO,1,1,0,0,0,0,1,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","11/04/2025 13:46:28",April,4,jparedes,SANTIAGO,1,1,0,0,0,0,1,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","11/04/2025 13:51:10",April,4,jparedes,SANTIAGO,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","11/04/2025 14:48:26",April,4,grojas,"LA FLORIDA",1,1,0,0,0,0,1,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","11/04/2025 14:51:37",April,4,grojas,PENALOLEN,1,1,0,0,0,0,1,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","11/04/2025 14:53:29",April,4,grojas,"LA FLORIDA",1,1,0,0,0,0,1,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","11/04/2025 14:55:15",April,4,grojas,"SAN JOAQUIN",1,1,0,0,0,0,1,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","14/04/2025 12:49:28",April,4,jparedes,SANTIAGO,1,0,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","14/04/2025 14:40:07",April,4,grojas,PUDAHUEL,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","14/04/2025 14:43:55",April,4,grojas,PUDAHUEL,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","14/04/2025 14:46:13",April,4,grojas,PUDAHUEL,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","14/04/2025 14:49:44",April,4,grojas,PUDAHUEL,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","14/04/2025 14:53:06",April,4,grojas,PUDAHUEL,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","14/04/2025 14:57:15",April,4,grojas,PUDAHUEL,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","14/04/2025 14:59:56",April,4,grojas,PUDAHUEL,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","14/04/2025 15:03:25",April,4,grojas,PUDAHUEL,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","14/04/2025 15:05:58",April,4,grojas,PUDAHUEL,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","14/04/2025 15:08:26",April,4,grojas,PUDAHUEL,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","14/04/2025 15:10:54",April,4,grojas,PUDAHUEL,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","14/04/2025 15:35:58",April,4,jparedes,SANTIAGO,1,1,0,0,0,0,1,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","14/04/2025 15:37:28",April,4,jparedes,PUDAHUEL,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","14/04/2025 15:39:05",April,4,jparedes,PUDAHUEL,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","14/04/2025 15:40:29",April,4,jparedes,PUDAHUEL,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","14/04/2025 15:42:07",April,4,jparedes,PUDAHUEL,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","14/04/2025 15:45:33",April,4,jparedes,PUDAHUEL,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","14/04/2025 15:46:58",April,4,jparedes,PUDAHUEL,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","14/04/2025 15:48:37",April,4,jparedes,PUDAHUEL,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","15/04/2025 14:47:58",April,4,jparedes,PUDAHUEL,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","15/04/2025 14:49:24",April,4,jparedes,PUDAHUEL,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","15/04/2025 14:51:40",April,4,jparedes,PUDAHUEL,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","15/04/2025 14:53:29",April,4,jparedes,PUDAHUEL,1,1,0,0,1,0,0,0
